item_id,task_group,writer_backend,prompt_condition,output_path,blind_output_path,status,notes
A01,A,subagent,baseline,03-題組與評估/outputs/proxy-dry-run/A01_subagent-run_baseline.md,03-題組與評估/blind-review/proxy-A01-baseline-blind.md,completed,第一輪正式結果
A01,A,subagent,rewrite-pipeline,03-題組與評估/outputs/proxy-dry-run/A01_subagent-run_rewrite-pipeline.md,03-題組與評估/blind-review/proxy-A01-rewrite-blind.md,completed,第一輪正式結果
A01,A,subagent,pivot-pipeline,03-題組與評估/outputs/proxy-dry-run/A01_subagent-run_pivot-pipeline.md,03-題組與評估/blind-review/proxy-A01-pivot-blind.md,completed,第一輪正式結果
A03,A,subagent,baseline,03-題組與評估/outputs/proxy-dry-run/A03_subagent-run_baseline.md,03-題組與評估/blind-review/proxy-A03-baseline-blind.md,completed,第一輪正式結果
A03,A,subagent,rewrite-pipeline,03-題組與評估/outputs/proxy-dry-run/A03_subagent-run_rewrite-pipeline.md,03-題組與評估/blind-review/proxy-A03-rewrite-blind.md,completed,第一輪正式結果
A03,A,subagent,pivot-pipeline,03-題組與評估/outputs/proxy-dry-run/A03_subagent-run_pivot-pipeline.md,03-題組與評估/blind-review/proxy-A03-pivot-blind.md,completed,第一輪正式結果
B01,B,subagent,baseline,03-題組與評估/outputs/proxy-dry-run/B01_subagent-run_baseline.md,03-題組與評估/blind-review/proxy-B01-baseline-blind.md,completed,第一輪正式結果
B01,B,subagent,rewrite-pipeline,03-題組與評估/outputs/proxy-dry-run/B01_subagent-run_rewrite-pipeline.md,03-題組與評估/blind-review/proxy-B01-rewrite-blind.md,completed,第一輪正式結果
B01,B,subagent,pivot-pipeline,03-題組與評估/outputs/proxy-dry-run/B01_subagent-run_pivot-pipeline.md,03-題組與評估/blind-review/proxy-B01-pivot-blind.md,completed,第一輪正式結果
B03,B,subagent,baseline,03-題組與評估/outputs/proxy-dry-run/B03_subagent-run_baseline.md,03-題組與評估/blind-review/proxy-B03-baseline-blind.md,completed,第一輪正式結果
B03,B,subagent,rewrite-pipeline,03-題組與評估/outputs/proxy-dry-run/B03_subagent-run_rewrite-pipeline.md,03-題組與評估/blind-review/proxy-B03-rewrite-blind.md,completed,第一輪正式結果
B03,B,subagent,pivot-pipeline,03-題組與評估/outputs/proxy-dry-run/B03_subagent-run_pivot-pipeline.md,03-題組與評估/blind-review/proxy-B03-pivot-blind.md,completed,第一輪正式結果
B04,B,subagent,baseline,03-題組與評估/outputs/proxy-dry-run/B04_subagent-run_baseline.md,03-題組與評估/blind-review/proxy-B04-baseline-blind.md,completed,第一輪正式結果
B04,B,subagent,rewrite-pipeline,03-題組與評估/outputs/proxy-dry-run/B04_subagent-run_rewrite-pipeline.md,03-題組與評估/blind-review/proxy-B04-rewrite-blind.md,completed,第一輪正式結果
B04,B,subagent,pivot-pipeline,03-題組與評估/outputs/proxy-dry-run/B04_subagent-run_pivot-pipeline.md,03-題組與評估/blind-review/proxy-B04-pivot-blind.md,completed,第一輪正式結果
C01,C,subagent,baseline,03-題組與評估/outputs/proxy-dry-run/C01_subagent-run_baseline.md,03-題組與評估/blind-review/proxy-C01-baseline-blind.md,completed,第一輪正式結果
C01,C,subagent,rewrite-pipeline,03-題組與評估/outputs/proxy-dry-run/C01_subagent-run_rewrite-pipeline.md,03-題組與評估/blind-review/proxy-C01-rewrite-blind.md,completed,第一輪正式結果
C01,C,subagent,pivot-pipeline,03-題組與評估/outputs/proxy-dry-run/C01_subagent-run_pivot-pipeline.md,03-題組與評估/blind-review/proxy-C01-pivot-blind.md,completed,第一輪正式結果
C03,C,subagent,baseline,03-題組與評估/outputs/proxy-dry-run/C03_subagent-run_baseline.md,03-題組與評估/blind-review/proxy-C03-baseline-blind.md,completed,第一輪正式結果
C03,C,subagent,rewrite-pipeline,03-題組與評估/outputs/proxy-dry-run/C03_subagent-run_rewrite-pipeline.md,03-題組與評估/blind-review/proxy-C03-rewrite-blind.md,completed,第一輪正式結果
C03,C,subagent,pivot-pipeline,03-題組與評估/outputs/proxy-dry-run/C03_subagent-run_pivot-pipeline.md,03-題組與評估/blind-review/proxy-C03-pivot-blind.md,completed,第一輪正式結果
C04,C,subagent,baseline,03-題組與評估/outputs/proxy-dry-run/C04_subagent-run_baseline.md,03-題組與評估/blind-review/proxy-C04-baseline-blind.md,completed,第一輪正式結果
C04,C,subagent,rewrite-pipeline,03-題組與評估/outputs/proxy-dry-run/C04_subagent-run_rewrite-pipeline.md,03-題組與評估/blind-review/proxy-C04-rewrite-blind.md,completed,第一輪正式結果
C04,C,subagent,pivot-pipeline,03-題組與評估/outputs/proxy-dry-run/C04_subagent-run_pivot-pipeline.md,03-題組與評估/blind-review/proxy-C04-pivot-blind.md,completed,第一輪正式結果
